entity_id,dob,main_legends,input_type,roles,algs_points_2020-21:,alternate_ids,player_years_active_range,player_years_active,player_total_winnings,player_placements_gold,player_placements_silver,player_placements_bronze,talent_years_active_range,talent_years_active,talent_events_covered,coach_years_active_range,coach_years_active,coach_total_winnings,coach_placements_gold,coach_placements_silver,coach_placements_bronze
henReel,,lifeline,mouse & keyboard,player,,,2019-03-30;2019-05-31,0,0.0,0,0,0,,,,,,,,,
Hero,1995-07-15,gibraltar;wraith;bloodhound,mouse & keyboard,player,3120,,2019-10-31;2021-11-04,2,1680.0,4,3,2,,,,,,,,,
Hers,,,,player;talent,,,2020-03-20;2021-01-02,1,300.0,1,0,0,2020-03-06;2022-06-16,2,70,,,,,,
Hesiko,2002-04-09,crypto,mouse & keyboard,player,6775,Yuk9,2020-03-21;2022-02-06,2,14355.0,2,1,2,,,,,,,,,
Hestia,1995-06-07,wraith;gibraltar,mouse & keyboard,player,4655,HestiaWasTaken,2020-08-15;2021-09-27,1,5135.0,2,1,5,,,,,,,,,
heykatie,,pathfinder,mouse & keyboard,player,,,2019-03-16;2019-09-15,0,6516.0,1,0,0,,,,,,,,,
Hiarka,2003-03-02,wraith;gibraltar,mouse & keyboard,player,2330,,2019-08-25;2022-03-20,3,22541.5,23,14,9,,,,,,,,,
Hiarky,,pathfinder;lifeline;gibraltar,mouse & keyboard,player,5680,Hierarchy,2020-01-27;2022-03-11,2,6790.0,1,4,3,,,,,,,,,
hikaruFrench,,,mouse & keyboard,player,7125,,2020-01-26;2021-02-22,1,6690.0,0,1,1,,,,,,,,,
hikuman,,,controller,player,,,2021-07-14;2022-01-28,1,8175.0,5,2,3,,,,,,,,,
Hill,1997-10-08,wraith;pathfinder,mouse & keyboard,player,6965,Hillkill65,2019-03-08;2022-01-27,3,52575.0,9,5,7,,,,,,,,,
His,,,,player;talent,,,2020-03-20;2022-02-22,2,11100.0,1,0,1,2020-03-06;2022-06-16,2,69,,,,,,
Hisofu,2001-08-15,bloodhound;wraith,mouse & keyboard,player,,,2021-04-01;2022-02-20,1,275.0,0,1,1,,,,,,,,,
HisWattson,,wattson;gibraltar;valkyrie,mouse & keyboard,player,3020,,2020-05-31;2022-01-14,2,4595.0,3,4,4,,,,,,,,,
Hodsic,1991-10-23,,mouse & keyboard,player;talent;coach,1565,,2019-03-09;2021-12-28,2,12580.0,3,0,2,2020-04-20;2021-05-14,1,13,2020-04-06;2022-03-23,2,53160.0,8,4,0
Holliday,1994-05-21,wattson,controller,player,1360,,2019-10-06;2022-03-22,3,5110.0,3,4,4,,,,,,,,,
holoac,,,mouse & keyboard,player,380,,2020-10-18;2022-03-20,2,1091.0,0,3,0,,,,,,,,,
HoNoSuu,,,mouse & keyboard,,750,,,,,,,,,,,,,,,,
Hoony,2000-12-10,gibraltar;crypto;bloodhound,mouse & keyboard,player,410,Ether00,2019-03-15;2021-12-05,2,670.0,1,6,0,,,,,,,,,
Horizxon,2001-06-24,pathfinder;gibraltar,controller,player,4455,,2020-04-06;2022-03-20,2,71521.0,7,4,5,,,,,,,,,
Hotoke,1998-12-02,,mouse & keyboard,,,,,,,,,,,,,,,,,,
HTPHarold,,,mouse & keyboard,player,720,,2019-11-14;2022-02-06,3,0.0,0,0,0,,,,,,,,,
hundredz,1989-08-10,wraith;wattson;gibraltar,mouse & keyboard,player,1560,,2019-05-22;2021-10-13,2,2055.0,0,2,5,,,,,,,,,
HusKers,1995-10-04,,mouse & keyboard,player,900,,2019-02-12;2020-04-06,1,175587.0,3,4,8,,,,,,,,,
IAmDrakey,1998-10-19,wattson,mouse & keyboard,player,,,2019-05-31;2019-12-22,0,0.0,1,0,2,,,,,,,,,
ibuo,,,mouse & keyboard,player,,,2021-04-23;2022-03-20,1,0.0,0,1,1,,,,,,,,,
IDG,,wattson,mouse & keyboard,player,2170,,2019-10-31;2020-05-30,1,990.0,0,2,0,,,,,,,,,
idgaf,,,mouse & keyboard,player,2210,idgafKakkoi;iid;idgafnvm,2020-05-30;2021-07-17,1,5185.0,0,2,2,,,,,,,,,
Iguyyyyy,,gibraltar,mouse & keyboard,player,3075,guywesly,2020-06-21;2021-10-10,1,2674.0,1,0,0,,,,,,,,,
iiTzTimmy,2000-04-19,pathfinder;wraith;valkyrie,mouse & keyboard,player,1210,,2019-09-11;2022-03-21,3,52053.0,2,1,3,,,,,,,,,
IKILLONLYNOOB,,wraith;octane,mouse & keyboard,player,3275,IKILL;RONNIE,2020-06-21;2022-03-20,2,2674.0,1,0,0,,,,,,,,,
Iko,1991-07-30,wattson,mouse & keyboard,player,980,,2020-04-06;2020-08-17,0,0.0,0,0,1,,,,,,,,,
iM07A,1995-01-03,wattson,mouse & keyboard,player,4800,iMoha,2020-01-26;2020-11-21,0,10160.0,2,2,0,,,,,,,,,
ImMadness,1998-06-19,octane;wraith,mouse & keyboard,player,11010,,2019-04-02;2022-03-23,3,184569.0,29,17,13,,,,,,,,,
iMoonDx,2003-04-03,wraith;gibraltar,mouse & keyboard,player,2235,,2021-01-31;2021-12-12,0,1380.0,3,3,1,,,,,,,,,
ImperialHal,1999-05-31,wraith;octane,mouse & keyboard,player,13670,,2019-03-15;2022-03-23,3,666024.0,51,23,20,,,,,,,,,
ImpulsiveDream,1998-04-02,bloodhound;caustic;gibraltar,controller,player,3180,Impulse,2020-03-23;2022-03-23,2,17329.0,7,5,6,,,,,,,,,
inboxes,,wraith,mouse & keyboard,,,,,,,,,,,,,,,,,,
InFighT,2001-08-28,wraith,mouse & keyboard,player;coach,3000,,2020-04-04;2021-06-22,1,5281.0,3,1,1,,,,2021-08-12;2021-11-07,0,0.0,0,0,0
Inhuman,1998-09-29,wraith;wattson;bangalore,mouse & keyboard,player,230,,2019-09-11;2021-12-05,2,2029.0,0,0,0,,,,,,,,,
Inhumed,,,mouse & keyboard,player,3425,Inhumed;iinhumed,2020-01-27;2021-12-15,1,750.0,0,0,2,,,,,,,,,
INPA,,pathfinder;gibraltar;caustic,mouse & keyboard,player,2070,,2019-10-20;2020-05-30,1,8.0,0,1,0,,,,,,,,,
Instyle,1994-07-03,wattson,mouse & keyboard,player,1460,,2019-10-31;2020-11-23,1,0.0,0,0,0,,,,,,,,,
InvctuZ,,,controller,player,,,2021-04-01;2021-06-20,0,19922.0,2,5,1,,,,,,,,,
IPirrus,2000-11-20,wraith,controller,player,1420,,2020-06-21;2022-02-15,2,8665.0,3,0,3,,,,,,,,,
iPN,1995-07-26,bloodhound;revenant,mouse & keyboard,player,4965,iPN-k0u,2019-04-03;2022-01-14,3,66672.0,10,7,5,,,,,,,,,
iShiny,1996-07-22,,mouse & keyboard,player,13100,,2019-03-27;2022-03-23,3,165375.0,8,8,11,,,,,,,,,
